"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",61,8,1,0,8,"Q","PCKEBHSQOTMWURJYXDAIZLGF"
"AH",62,8,1,1,16,"M","HAKXWUQGREPJIOSLMBCFTDYZ"
"AH",63,8,1,-11,13,"T","JTORLWZUFECYIGSDXPBQHKMA"
"AH",64,8,1,1,12,"A","QKGISYHJPBDOAZEFLUCWTXRM"
"AH",65,8,1,1,7,"M","HPQUZWDMIACFBSGTEORYKLXJ"
"AH",66,8,1,4,17,"K","RACHEFOWSGJQIBYLXUMTKDPZ"
"AH",67,8,1,0,15,"R","ILBFOCDQXPMJESRGHAZYTUKW"
"AH",68,8,1,1,7,"D","ULWARIMDFGBCJXYTQHOEPKSZ"
"AH",69,8,1,1,13,"L","RIDMGHEQYCXWULJAZSFOKPBT"
"AH",70,8,1,1,10,"S","IUAOQFJRXPSGMCZKDLBYEWHT"
"AH",71,8,1,1,16,"S","FACYBHJWITKLERMXSGPQUZDO"
"AH",72,8,1,1,8,"P","XYFTUCHMPOJDEAIKBZRSWQLG"
"AH",73,8,1,0,9,"P","ZLWJYHQUPBRISGKEDOAXMCFT"
